feature,importance_score,correlation_with_soh_loss
cumulative_time_above_40C,0.8352232172452755,0.9281332343715101
cumulative_deep_dod_cycles,0.09327236762226299,0.9301603333812837
c_rate,0.024545301742629633,0.7308553814044827
cumulative_cycle_count,0.022920611464804973,0.47486287876379235
charge_time,0.020252245236331498,-0.5957082505878402
temperature_mean,0.0030270218773262164,0.6713244764645175
temperature_max,0.0006954891905548478,0.6632862943746359
discharge_depth,4.01551691854881e-05,0.6236843556384761
internal_resistance_proxy,2.3590451628872886e-05,-0.5092068744361137
